ten_9:30000001-35000000	TEN_396
ten_9:35000001-40000000	TEN_397
ten_9:40000001-45000000	TEN_398
ten_9:45000001-50000000	TEN_399
ten_9:50000001-55000000	TEN_400
ten_9:55000001-60000000	TEN_401
ten_9:60000001-65000000	TEN_402
ten_9:65000001-70000000	TEN_403
ten_9:70000001-75000000	TEN_404
ten_9:75000001-80000000	TEN_405
ten_9:80000001-85000000	TEN_406
ten_9:85000001-90000000	TEN_407
ten_9:90000001-95000000	TEN_408
ten_9:95000001-100000000	TEN_409
ten_9:100000001-105000000	TEN_410
ten_9:105000001-110000000	TEN_411
ten_9:110000001-115000000	TEN_412
ten_9:115000001-120000000	TEN_413
ten_9:120000001-125000000	TEN_414
ten_9:125000001-130000000	TEN_415
ten_9:130000001-135000000	TEN_416
ten_9:135000001-140000000	TEN_417
ten_9:140000001-145000000	TEN_418
ten_9:145000001-150000000	TEN_419
ten_9:150000001-155000000	TEN_420
ten_9:155000001-160000000	TEN_421
ten_9:160000001-165000000	TEN_422
ten_9:165000001-169280930	TEN_423
ten_10:1-5000000	TEN_424
ten_10:5000001-10000000	TEN_425
ten_10:10000001-15000000	TEN_426
ten_10:15000001-20000000	TEN_427
ten_10:20000001-25000000	TEN_428
ten_10:25000001-30000000	TEN_429
ten_10:30000001-35000000	TEN_430
ten_10:35000001-40000000	TEN_431
ten_10:40000001-45000000	TEN_432
ten_10:45000001-50000000	TEN_433
ten_10:50000001-55000000	TEN_434
ten_10:55000001-60000000	TEN_435
ten_10:60000001-65000000	TEN_436
ten_10:65000001-70000000	TEN_437
ten_10:70000001-75000000	TEN_438
ten_10:75000001-80000000	TEN_439
ten_10:80000001-85000000	TEN_440
ten_10:85000001-90000000	TEN_441
ten_10:90000001-95000000	TEN_442
ten_10:95000001-100000000	TEN_443
ten_10:100000001-105000000	TEN_444
ten_10:105000001-110000000	TEN_445
ten_10:110000001-115000000	TEN_446
ten_10:115000001-120000000	TEN_447
ten_10:120000001-125000000	TEN_448
ten_10:125000001-130000000	TEN_449
ten_10:130000001-135000000	TEN_450
ten_10:135000001-140000000	TEN_451
ten_10:140000001-145000000	TEN_452
ten_10:145000001-150000000	TEN_453
ten_10:150000001-155000000	TEN_454
ten_10:155000001-160000000	TEN_455
ten_10:160000001-165000000	TEN_456
ten_10:165000001-170000000	TEN_457
ten_10:170000001-175000000	TEN_458
ten_10:175000001-179286492	TEN_459
ten_11:1-5000000	TEN_460
ten_11:5000001-10000000	TEN_461
ten_11:10000001-15000000	TEN_462
ten_11:15000001-20000000	TEN_463
ten_11:20000001-25000000	TEN_464
ten_11:25000001-30000000	TEN_465
ten_11:30000001-35000000	TEN_466
ten_11:35000001-40000000	TEN_467
ten_11:40000001-45000000	TEN_468
ten_11:45000001-50000000	TEN_469
ten_11:50000001-55000000	TEN_470
ten_11:55000001-60000000	TEN_471
ten_11:60000001-65000000	TEN_472
ten_11:65000001-70000000	TEN_473
ten_11:70000001-75000000	TEN_474
ten_11:75000001-80000000	TEN_475
ten_11:80000001-85000000	TEN_476
ten_11:85000001-90000000	TEN_477
ten_11:90000001-95000000	TEN_478
ten_11:95000001-100000000	TEN_479
ten_11:100000001-105000000	TEN_480
ten_11:105000001-110000000	TEN_481
ten_11:110000001-115000000	TEN_482
ten_11:115000001-120000000	TEN_483
ten_11:120000001-120337668	TEN_484
ten_12:1-5000000	TEN_485
ten_12:5000001-10000000	TEN_486
ten_12:10000001-15000000	TEN_487
ten_12:15000001-20000000	TEN_488
ten_12:20000001-25000000	TEN_489
ten_12:25000001-30000000	TEN_490
ten_12:30000001-35000000	TEN_491
ten_12:35000001-40000000	TEN_492
ten_12:40000001-45000000	TEN_493
ten_12:45000001-50000000	TEN_494
ten_12:50000001-55000000	TEN_495
ten_12:55000001-60000000	TEN_496
ten_12:60000001-65000000	TEN_497
ten_12:65000001-70000000	TEN_498
ten_12:70000001-75000000	TEN_499
ten_12:75000001-80000000	TEN_500
ten_12:80000001-85000000	TEN_501
ten_12:85000001-90000000	TEN_502
ten_12:90000001-95000000	TEN_503
ten_12:95000001-100000000	TEN_504
ten_12:100000001-105000000	TEN_505
ten_12:105000001-110000000	TEN_506
ten_12:110000001-115000000	TEN_507
ten_12:115000001-120000000	TEN_508
ten_12:120000001-125000000	TEN_509
ten_12:125000001-130000000	TEN_510
ten_12:130000001-135000000	TEN_511
ten_12:135000001-139355390	TEN_512
ten_X1:1-5000000	TEN_513
ten_X1:5000001-10000000	TEN_514
ten_X1:10000001-15000000	TEN_515
ten_X1:15000001-20000000	TEN_516
ten_X1:20000001-25000000	TEN_517
ten_X1:25000001-30000000	TEN_518
ten_X1:30000001-35000000	TEN_519
ten_X1:35000001-40000000	TEN_520
ten_X1:40000001-45000000	TEN_521
ten_X1:45000001-50000000	TEN_522
ten_X1:50000001-55000000	TEN_523
ten_X1:55000001-60000000	TEN_524
ten_X1:60000001-65000000	TEN_525
ten_X1:65000001-70000000	TEN_526
ten_X1:70000001-75000000	TEN_527
ten_X1:75000001-80000000	TEN_528
ten_X1:80000001-85000000	TEN_529
ten_X1:85000001-90000000	TEN_530
ten_X1:90000001-95000000	TEN_531
ten_X1:95000001-100000000	TEN_532
ten_X1:100000001-105000000	TEN_533
ten_X1:105000001-110000000	TEN_534
ten_X1:110000001-115000000	TEN_535
ten_X1:115000001-120000000	TEN_536
ten_X1:120000001-125000000	TEN_537
ten_X1:125000001-130000000	TEN_538
ten_X1:130000001-135000000	TEN_539
ten_X1:135000001-140000000	TEN_540
ten_X1:140000001-145000000	TEN_541
ten_X1:145000001-150000000	TEN_542
ten_X1:150000001-155000000	TEN_543
ten_X1:155000001-160000000	TEN_544
ten_X1:160000001-165000000	TEN_545
ten_X1:165000001-170000000	TEN_546
ten_X1:170000001-175000000	TEN_547
ten_X1:175000001-180000000	TEN_548
ten_X1:180000001-185000000	TEN_549
ten_X1:185000001-190000000	TEN_550
ten_X1:190000001-195000000	TEN_551
ten_X1:195000001-200000000	TEN_552
ten_X1:200000001-205000000	TEN_553
ten_X1:205000001-210000000	TEN_554
ten_X1:210000001-215000000	TEN_555
ten_X1:215000001-220000000	TEN_556
ten_X1:220000001-225000000	TEN_557
ten_X1:225000001-230000000	TEN_558
ten_X1:230000001-235000000	TEN_559
ten_X1:235000001-239918123	TEN_560
ten_X2:1-5000000	TEN_561
ten_X2:5000001-10000000	TEN_562
ten_X2:10000001-15000000	TEN_563
ten_X2:15000001-20000000	TEN_564
ten_X2:20000001-25000000	TEN_565
ten_X2:25000001-30000000	TEN_566
ten_X2:30000001-35000000	TEN_567
ten_X2:35000001-40000000	TEN_568
ten_X2:40000001-45000000	TEN_569
ten_X2:45000001-50000000	TEN_570
ten_X2:50000001-55000000	TEN_571
ten_X2:55000001-60000000	TEN_572
ten_X2:60000001-65000000	TEN_573
ten_X2:65000001-70000000	TEN_574
ten_X2:70000001-75000000	TEN_575
ten_X2:75000001-80000000	TEN_576
ten_X2:80000001-85000000	TEN_577
ten_X2:85000001-90000000	TEN_578
ten_X2:90000001-95000000	TEN_579
ten_X2:95000001-100000000	TEN_580
ten_X2:100000001-105000000	TEN_581
ten_X2:105000001-110000000	TEN_582
