dum_7:120000001-125000000	DUM_347
dum_7:125000001-130000000	DUM_348
dum_7:130000001-135000000	DUM_349
dum_7:135000001-140000000	DUM_350
dum_7:140000001-145000000	DUM_351
dum_7:145000001-150000000	DUM_352
dum_7:150000001-155000000	DUM_353
dum_7:155000001-160000000	DUM_354
dum_7:160000001-165000000	DUM_355
dum_7:165000001-170000000	DUM_356
dum_7:170000001-175000000	DUM_357
dum_7:175000001-180000000	DUM_358
dum_7:180000001-185000000	DUM_359
dum_7:185000001-190000000	DUM_360
dum_7:190000001-195000000	DUM_361
dum_7:195000001-200000000	DUM_362
dum_7:200000001-205000000	DUM_363
dum_7:205000001-210000000	DUM_364
dum_7:210000001-210029531	DUM_365
dum_8:1-5000000	DUM_366
dum_8:5000001-10000000	DUM_367
dum_8:10000001-15000000	DUM_368
dum_8:15000001-20000000	DUM_369
dum_8:20000001-25000000	DUM_370
dum_8:25000001-30000000	DUM_371
dum_8:30000001-35000000	DUM_372
dum_8:35000001-40000000	DUM_373
dum_8:40000001-45000000	DUM_374
dum_8:45000001-50000000	DUM_375
dum_8:50000001-55000000	DUM_376
dum_8:55000001-60000000	DUM_377
dum_8:60000001-65000000	DUM_378
dum_8:65000001-70000000	DUM_379
dum_8:70000001-75000000	DUM_380
dum_8:75000001-80000000	DUM_381
dum_8:80000001-85000000	DUM_382
dum_8:85000001-90000000	DUM_383
dum_8:90000001-95000000	DUM_384
dum_8:95000001-100000000	DUM_385
dum_8:100000001-105000000	DUM_386
dum_8:105000001-110000000	DUM_387
dum_8:110000001-115000000	DUM_388
dum_8:115000001-120000000	DUM_389
dum_8:120000001-125000000	DUM_390
dum_8:125000001-130000000	DUM_391
dum_8:130000001-135000000	DUM_392
dum_8:135000001-140000000	DUM_393
dum_8:140000001-145000000	DUM_394
dum_8:145000001-150000000	DUM_395
dum_8:150000001-155000000	DUM_396
dum_8:155000001-160000000	DUM_397
dum_8:160000001-165000000	DUM_398
dum_8:165000001-170000000	DUM_399
dum_8:170000001-175000000	DUM_400
dum_8:175000001-180000000	DUM_401
dum_8:180000001-185000000	DUM_402
dum_8:185000001-190000000	DUM_403
dum_8:190000001-194273363	DUM_404
dum_9:1-5000000	DUM_405
dum_9:5000001-10000000	DUM_406
dum_9:10000001-15000000	DUM_407
dum_9:15000001-20000000	DUM_408
dum_9:20000001-25000000	DUM_409
dum_9:25000001-30000000	DUM_410
dum_9:30000001-35000000	DUM_411
dum_9:35000001-40000000	DUM_412
dum_9:40000001-45000000	DUM_413
dum_9:45000001-50000000	DUM_414
dum_9:50000001-55000000	DUM_415
dum_9:55000001-60000000	DUM_416
dum_9:60000001-65000000	DUM_417
dum_9:65000001-70000000	DUM_418
dum_9:70000001-75000000	DUM_419
dum_9:75000001-80000000	DUM_420
dum_9:80000001-85000000	DUM_421
dum_9:85000001-90000000	DUM_422
dum_9:90000001-95000000	DUM_423
dum_9:95000001-100000000	DUM_424
dum_9:100000001-105000000	DUM_425
dum_9:105000001-110000000	DUM_426
dum_9:110000001-115000000	DUM_427
dum_9:115000001-120000000	DUM_428
dum_9:120000001-125000000	DUM_429
dum_9:125000001-130000000	DUM_430
dum_9:130000001-135000000	DUM_431
dum_9:135000001-140000000	DUM_432
dum_9:140000001-145000000	DUM_433
dum_9:145000001-150000000	DUM_434
dum_9:150000001-155000000	DUM_435
dum_9:155000001-160000000	DUM_436
dum_9:160000001-165000000	DUM_437
dum_9:165000001-170000000	DUM_438
dum_9:170000001-175000000	DUM_439
dum_9:175000001-180000000	DUM_440
dum_9:180000001-185000000	DUM_441
dum_9:185000001-190000000	DUM_442
dum_9:190000001-191741074	DUM_443
dum_10:1-5000000	DUM_444
dum_10:5000001-10000000	DUM_445
dum_10:10000001-15000000	DUM_446
dum_10:15000001-20000000	DUM_447
dum_10:20000001-25000000	DUM_448
dum_10:25000001-30000000	DUM_449
dum_10:30000001-35000000	DUM_450
dum_10:35000001-40000000	DUM_451
dum_10:40000001-45000000	DUM_452
dum_10:45000001-50000000	DUM_453
dum_10:50000001-55000000	DUM_454
dum_10:55000001-60000000	DUM_455
dum_10:60000001-65000000	DUM_456
dum_10:65000001-70000000	DUM_457
dum_10:70000001-75000000	DUM_458
dum_10:75000001-80000000	DUM_459
dum_10:80000001-85000000	DUM_460
dum_10:85000001-90000000	DUM_461
dum_10:90000001-95000000	DUM_462
dum_10:95000001-100000000	DUM_463
dum_10:100000001-105000000	DUM_464
dum_10:105000001-110000000	DUM_465
dum_10:110000001-115000000	DUM_466
dum_10:115000001-120000000	DUM_467
