ind_id	first_mating_time	sex
male_1657	11.899999999999974	male
male_1658	17.299999999999976	male
male_1659	17.69999999999998	male
male_1661	26.400000000000105	male
male_1664	12.399999999999972	male
male_1665	9.199999999999983	male
male_1666	27.800000000000125	male
male_1670	11.499999999999975	male
male_1671	26.900000000000112	male
male_1673	26.600000000000108	male
male_1675	77.99999999999984	male
male_1677	14.299999999999965	male
male_1678	34.50000000000022	male
male_1679	83.9999999999995	male
male_1682	62.60000000000062	male
male_1683	5.099999999999998	male
male_1684	96.59999999999879	male
male_1685	6.8999999999999915	male
male_1686	36.70000000000025	male
male_1690	14.699999999999964	male
male_1691	28.20000000000013	male
male_1692	48.300000000000416	male
male_1694	8.499999999999986	male
male_1696	39.60000000000029	male
male_1697	1.3	male
male_1698	41.900000000000325	male
male_1700	27.600000000000122	male
male_1705	13.699999999999967	male
male_1706	9.199999999999983	male
male_1708	23.90000000000007	male
male_1711	2.700000000000001	male
male_1712	9.099999999999984	male
male_1713	16.89999999999997	male
male_1721	36.80000000000025	male
male_1723	6.299999999999994	male
male_1724	3.900000000000002	male
male_1728	30.600000000000165	male
male_1732	25.900000000000098	male
male_1733	0.30000000000000004	male
male_1734	42.500000000000334	male
male_1737	15.199999999999962	male
male_1738	2.2000000000000006	male
male_1739	38.90000000000028	male
male_1743	5.1999999999999975	male
male_1744	0.0	male
male_1745	4.999999999999998	male
male_1748	4.5	male
male_1749	8.499999999999986	male
male_1750	1.2	male
male_1754	14.899999999999963	male
male_1755	10.19999999999998	male
male_1762	2.700000000000001	male
male_1763	58.30000000000056	male
male_1764	9.599999999999982	male
male_1766	75.89999999999996	male
male_1768	14.899999999999963	male
male_1770	13.799999999999967	male
male_1771	11.299999999999976	male
male_1772	32.100000000000186	male
male_1773	4.200000000000001	male
male_1776	4.5	male
male_1777	57.50000000000055	male
male_1778	15.299999999999962	male
male_1780	32.20000000000019	male
male_1784	19.500000000000007	male
male_1785	73.10000000000012	male
male_1787	11.999999999999973	male
male_1788	51.30000000000046	male
male_1790	37.30000000000026	male
male_1791	10.09999999999998	male
male_1794	30.000000000000156	male
male_1795	21.70000000000004	male
male_1797	20.900000000000027	male
male_1800	34.00000000000021	male
male_1805	12.69999999999997	male
male_1807	55.300000000000516	male
